model_names,train_times,val_eval_times,final_test_times,train_accuracies,val_accuracies,final_test_accuracies,best_epochs,final_train_losses,final_val_losses,final_test_losses,train_acc_history,val_acc_history,train_loss_history,val_loss_history
vit_base_patch16_224,6079.127568721771,41.34511208534241,41.20267987251282,95.31732826241978,91.7960088691796,89.67813540510544,26,0.15116813848020905,0.2546643305826804,0.27347985732144325,"[68.74257190396958, 82.3864986926551, 85.69051580698836, 87.68718801996673, 89.04207273591634, 89.16092227240314, 90.30187782267649, 90.46826717375802, 91.39529355835512, 92.34608985024958, 92.75017827430473, 93.22557642025195, 93.39196577133349, 93.5108153078203, 93.58212502971239, 93.55835512241502, 93.79605419538863, 94.17637271214642, 94.67554076539102, 94.4378416924174, 94.62800095079629, 95.17470881863561, 94.7468504872831, 94.79439030187783, 95.31732826241978, 95.10339909674352]","[77.27272727272727, 83.81374722838137, 85.69844789356985, 88.24833702882484, 87.47228381374723, 88.58093126385809, 89.02439024390245, 89.91130820399113, 90.9090909090909, 90.35476718403548, 90.2439024390244, 90.57649667405765, 91.01995565410199, 91.46341463414635, 88.91352549889135, 90.46563192904657, 89.24611973392462, 90.68736141906874, 91.57427937915743, 91.35254988913526, 91.7960088691796, 91.24168514412416, 88.91352549889135, 90.57649667405765, 91.24168514412416, 90.79822616407982]","[0.7849689988475858, 0.4809628436059663, 0.4003754491833123, 0.3556437842322118, 0.3228883860689221, 0.3052544212250998, 0.2843098857750495, 0.2710422200122566, 0.25348152756465203, 0.24199190064135825, 0.22630072955155012, 0.2185082660818642, 0.20564283295111221, 0.20190567726438696, 0.20106685759894777, 0.1976512817835266, 0.18670755291752744, 0.18183800321298116, 0.17265957331454213, 0.17217723144726318, 0.1676941563967954, 0.1621107535267418, 0.16144281970054813, 0.15741567418092128, 0.1504464898484223, 0.15116813848020905]","[0.5618317630784265, 0.44096388565055256, 0.38124445003682167, 0.33864900200017567, 0.33223686893952303, 0.30281453123637314, 0.31747004755868996, 0.28463673437463827, 0.2773108998120859, 0.2697959466484086, 0.272421318202697, 0.2733943132876322, 0.2571001474199624, 0.2725156704927313, 0.2814703393599083, 0.24894196119416376, 0.26236200997413234, 0.2619814077424335, 0.2419098626645603, 0.24561333874690122, 0.23790228259267993, 0.2501035445562467, 0.2857367154291092, 0.24898938794523992, 0.25103959129673653, 0.2546643305826804]"
mobilenetv3_large,531.0802121162415,7.79071307182312,7.5944013595581055,81.17423342048966,79.15742793791574,81.57602663706992,12,0.49430092875704623,0.5346256222190529,0.5141769400958357,"[58.64036130259092, 70.83432374613739, 74.28096030425482, 76.49156168290943, 76.77680057047777, 77.87021630615641, 79.32018065129546, 79.55787972426907, 80.46113620156882, 80.69883527454243, 81.00784406940812, 81.17423342048966]","[70.06651884700665, 73.39246119733924, 74.6119733924612, 76.38580931263859, 77.71618625277162, 78.7139689578714, 79.15742793791574, 78.27050997782705, 78.49223946784923, 78.49223946784923, 78.49223946784923, 78.7139689578714]","[1.013427036729726, 0.7683640244332227, 0.6849011677232656, 0.6363505122788025, 0.6093503505443082, 0.5735689015551046, 0.5493029346971801, 0.5403999715591922, 0.5291879924409317, 0.5103404779325832, 0.5092202215032144, 0.49430092875704623]","[0.7874976992607117, 0.6901388116951647, 0.6345058833730632, 0.6016547505197853, 0.5878794881804236, 0.5672188596478824, 0.5509340244120565, 0.5548556262049181, 0.5375429191466036, 0.5380217068154236, 0.5439467496913055, 0.5346256222190529]"
mobilenetv3_small,1062.6769721508026,7.128793954849243,7.039773464202881,79.01117185642975,78.60310421286032,80.35516093229745,26,0.5532060134591479,0.5415443988709614,0.5431749358259398,"[53.88637984311861, 65.58117423342048, 68.76634181126694, 70.1449964345139, 71.19087235559782, 72.33182790587117, 72.73591632992631, 73.68671262182077, 74.94651770858094, 74.80389826479677, 75.44568576182553, 76.18255288804373, 77.15711908723556, 76.49156168290943, 76.58664131209888, 77.15711908723556, 77.34727834561446, 77.4423579748039, 77.60874732588543, 77.68005704777751, 77.79890658426432, 77.68005704777751, 78.17922510102211, 78.39315426669836, 79.01117185642975, 78.4882338958878]","[62.3059866962306, 69.95565410199556, 71.17516629711751, 69.40133037694014, 72.72727272727273, 73.94678492239468, 73.50332594235033, 74.39024390243902, 75.3880266075388, 76.82926829268293, 76.2749445676275, 75.49889135254989, 76.94013303769401, 76.49667405764967, 75.49889135254989, 77.60532150776054, 76.16407982261642, 75.72062084257206, 77.38359201773837, 77.16186252771618, 78.60310421286032, 78.27050997782705, 77.8270509977827, 77.38359201773837, 78.27050997782705, 78.49223946784923]","[1.1007208223595764, 0.8671323909904017, 0.793422204526988, 0.759808581209544, 0.7254865499156894, 0.7002893783377878, 0.6951227495164582, 0.6685459022269105, 0.6503818028352477, 0.6474554310693885, 0.6262190407424262, 0.6167085613265182, 0.6076376465233889, 0.6116883804400762, 0.5981928356217615, 0.5899839949878779, 0.5827519758181139, 0.57813003862446, 0.5697671452706511, 0.5797596542221127, 0.5648409175601873, 0.5575064497463631, 0.5581124596523516, 0.5443047352812507, 0.5433109581018939, 0.5532060134591479]","[0.915588417957569, 0.7835641184757496, 0.725989601735411, 0.7375781227802408, 0.681405921434534, 0.6615556221583794, 0.6768848012233603, 0.6383653067309281, 0.6341990797684111, 0.6070397347211838, 0.6091146392041239, 0.6050539001308638, 0.5975986354309937, 0.5921796616809122, 0.5878832540635405, 0.5810844250794115, 0.5791096414985328, 0.5794721199520703, 0.575311577011799, 0.5712189098884319, 0.5551136865698058, 0.562018176348045, 0.5535725000603445, 0.5674300568884817, 0.5563347334491795, 0.5415443988709614]"
efficientnet_b0,859.9011869430542,9.309466123580933,9.225341558456421,83.50368433563109,80.37694013303769,79.91120976692564,16,0.4349557181650942,0.5227923187716254,0.5036129715113804,"[63.061564059900164, 73.75802234371287, 75.7071547420965, 77.82267649156168, 78.03660565723794, 79.01117185642975, 80.91276444021868, 80.74637508913715, 81.12669360589494, 81.60209175184217, 82.12502971238412, 82.79058711671024, 82.79058711671024, 82.6955074875208, 83.50368433563109, 83.3135250772522]","[72.61640798226163, 75.05543237250555, 77.38359201773837, 76.94013303769401, 77.27272727272727, 78.27050997782705, 78.27050997782705, 79.04656319290466, 78.93569844789357, 79.82261640798227, 80.37694013303769, 79.04656319290466, 78.49223946784923, 80.26607538802661, 79.15742793791574, 79.26829268292683]","[0.9382855156154344, 0.6967903061798124, 0.6410455958861293, 0.5970760093945445, 0.571609664143938, 0.5534122292742585, 0.5081488044198715, 0.5078287957744165, 0.49066021304690477, 0.48707050412441744, 0.4733464896227374, 0.4656908083142656, 0.45718498516714934, 0.4477790136906234, 0.4324655949392102, 0.4349557181650942]","[0.7397660397250077, 0.659635027934765, 0.6197882191888218, 0.5906403085281109, 0.5799654763320397, 0.5591456489316349, 0.5659608255172598, 0.5412860954629963, 0.5469383134924132, 0.5320144059329197, 0.5258377040254658, 0.5292341750243614, 0.5416055331970083, 0.5278514233128778, 0.5358940917870094, 0.5227923187716254]"
mobilenet_v2,680.011901140213,8.219444751739502,17.403268098831177,81.22177323508438,77.0509977827051,77.9134295227525,14,0.5053590906388832,0.5796377134734186,0.5584497307908947,"[59.56738768718802, 70.43023532208224, 73.37770382695507, 75.20798668885192, 76.3251723318279, 77.10957927264084, 77.79890658426432, 78.44069408129309, 78.89232231994295, 79.58164963156644, 81.22177323508438, 79.67672926075588, 80.12835749940575, 80.2234371285952]","[68.40354767184036, 70.62084257206209, 73.94678492239468, 74.16851441241685, 73.17073170731707, 75.49889135254989, 74.50110864745011, 75.60975609756098, 77.0509977827051, 76.49667405764967, 76.05321507760532, 75.3880266075388, 76.60753880266076, 76.94013303769401]","[1.0485011849439505, 0.7852049971168692, 0.7152006131681529, 0.6623668081381104, 0.6350417509675026, 0.6047395343581835, 0.5905285576979319, 0.5661932548338716, 0.5547432262789119, 0.556525446248777, 0.5106819174957998, 0.5276690027253195, 0.5272968944275018, 0.5053590906388832]","[0.8353909377394051, 0.7473505427097452, 0.6865660722913414, 0.6596292154542331, 0.6631619591137459, 0.617072965564399, 0.616636815769919, 0.599337083512339, 0.5965081124470152, 0.5896869250412645, 0.591582878910262, 0.5838167605728939, 0.5841186293240251, 0.5796377134734186]"
inception_resnet_v2,4308.189079046249,31.213687896728516,31.064225673675537,79.46280009507963,77.49445676274945,77.58046614872364,24,0.5411421776269422,0.591943714125403,0.5835939984897087,"[53.482291419063465, 66.3180413596387, 70.04991680532446, 72.07035892560019, 72.40313762776326, 74.18588067506536, 73.56786308533397, 75.01782743047302, 76.23009270263846, 76.3251723318279, 76.30140242453055, 76.6341811266936, 76.80057047777514, 77.10957927264084, 78.53577371048253, 77.87021630615641, 77.91775612075114, 78.9874019491324, 78.17922510102211, 78.4882338958878, 79.46280009507963, 79.24887092940338, 78.84478250534823, 79.2964107439981]","[64.07982261640798, 68.8470066518847, 71.84035476718404, 71.61862527716187, 72.9490022172949, 73.39246119733924, 73.17073170731707, 74.83370288248337, 73.83592017738358, 74.50110864745011, 74.72283813747228, 75.83148558758315, 73.39246119733924, 75.27716186252772, 75.3880266075388, 76.16407982261642, 75.60975609756098, 76.49667405764967, 77.49445676274945, 77.16186252771618, 76.16407982261642, 76.38580931263859, 76.49667405764967, 76.49667405764967]","[1.1072692437605425, 0.8671301792968403, 0.7886074885274424, 0.7375569226163806, 0.7088196916562138, 0.6895157146182928, 0.6645155878681125, 0.6373076461481325, 0.6251671190063158, 0.6164728996880127, 0.6175235236684481, 0.599609236599821, 0.595732130336039, 0.5888809421748826, 0.5664716911586848, 0.5764124987251831, 0.5683905778057647, 0.5544937950643626, 0.5562211835023129, 0.5559401652126601, 0.5337810118993124, 0.5355578961245941, 0.5469406303582769, 0.5411421776269422]","[0.9352926283047117, 0.826565512295427, 0.7638986532030434, 0.7260332775527033, 0.7092128550184185, 0.6939313278116029, 0.6715760991491121, 0.658341049120344, 0.662267796952149, 0.6457308438317529, 0.6325664777180244, 0.6181334555149078, 0.6553156036755134, 0.63355877173358, 0.6229072012777986, 0.608123839415353, 0.5955603703342635, 0.6021015155931999, 0.5883770543953468, 0.5841775336142244, 0.584217156315672, 0.5885198255037439, 0.5830092846319593, 0.591943714125403]"
