model_names,train_times,val_eval_times,final_test_times,train_accuracies,val_accuracies,final_test_accuracies,best_epochs,final_train_losses,final_val_losses,final_test_losses,train_acc_history,val_acc_history,train_loss_history,val_loss_history
wide_resnet50_2,2151.264464855194,21.897559642791748,21.918633699417114,87.99619681483242,80.93126385809313,81.24306326304107,17,0.3517303124747493,0.5049520404688244,0.4969141945756715,"[61.27882101259805, 73.71048252911814, 76.03993344425957, 79.89065842643214, 81.03161397670549, 81.74471119562634, 83.432374613739, 83.78892322319943, 84.2405514618493, 84.45448062752556, 85.23888756833848, 85.61920608509627, 86.14214404563822, 85.76182552888044, 86.0946042310435, 87.66341811266936, 87.99619681483242]","[71.61862527716187, 74.72283813747228, 76.60753880266076, 76.49667405764967, 75.94235033259423, 78.15964523281596, 79.04656319290466, 78.7139689578714, 79.60088691796008, 78.04878048780488, 79.490022172949, 80.93126385809313, 80.82039911308205, 80.26607538802661, 80.93126385809313, 79.60088691796008, 80.04434589800444]","[0.9851113851323272, 0.7217954629749963, 0.6357268569144335, 0.5624862263600031, 0.5327579022356959, 0.5032003813169219, 0.47529739954254846, 0.4629762996778344, 0.441696801984852, 0.4326812576389674, 0.4221335132465218, 0.40106955712491815, 0.39413384641661786, 0.3906395916234363, 0.39372585928349785, 0.36822232378251624, 0.3517303124747493]","[0.7677921621963896, 0.6722012850744971, 0.6222535376918727, 0.5977033078670502, 0.5803026354004597, 0.5574211354913383, 0.5489204695512508, 0.540622076597707, 0.5309796785486156, 0.5350130611452563, 0.530286473960712, 0.5189048927919618, 0.5071843227949636, 0.5174943126481155, 0.5103053394062765, 0.5095931088616108, 0.5049520404688244]"
resnet50,1851.7285442352295,16.03829860687256,14.99010443687439,81.29308295697646,78.93569844789357,81.13207547169812,23,0.49061008339578455,0.5473892133811424,0.5077899437526177,"[59.97147611124316, 70.31138578559543, 73.30639410506299, 75.13667696695983, 75.75469455669123, 76.89565010696458, 76.42025196101736, 76.72926075588305, 76.72926075588305, 77.53743760399334, 77.4423579748039, 77.79890658426432, 78.9874019491324, 78.369384359401, 78.96363204183504, 80.48490610886617, 79.7955787972427, 80.00950796291895, 79.9144283337295, 80.15212740670312, 81.05538388400285, 81.29308295697646, 80.79391490373187]","[70.509977827051, 71.72949002217295, 73.61419068736141, 75.3880266075388, 75.3880266075388, 74.72283813747228, 77.16186252771618, 76.94013303769401, 77.49445676274945, 76.38580931263859, 76.60753880266076, 78.27050997782705, 77.8270509977827, 75.16629711751663, 78.7139689578714, 75.83148558758315, 77.93791574279379, 78.93569844789357, 77.0509977827051, 78.15964523281596, 78.04878048780488, 75.94235033259423, 78.15964523281596]","[0.9602684902422356, 0.7431291283080073, 0.6806432893781951, 0.6403858869364767, 0.6262240263097214, 0.6001535554726919, 0.593822781560999, 0.5988609244426092, 0.5794904322335215, 0.5775742047663891, 0.5892860379182931, 0.5471512266632282, 0.5377277938479726, 0.5515632362979831, 0.5411699362324945, 0.5067442508809494, 0.5201303226252397, 0.511915968110164, 0.5185454068987658, 0.5102777496883364, 0.4896478452014201, 0.48009055469072226, 0.49061008339578455]","[0.7641943631501034, 0.6903724598473516, 0.6462899580084044, 0.6161997194947868, 0.6185103706244764, 0.5992975831031799, 0.5697939385627878, 0.5787727380621022, 0.5615807242434601, 0.5620990169459376, 0.5982377354441017, 0.5560255030105854, 0.5483630587314737, 0.6542005199810554, 0.5351531510723049, 0.5982170207747097, 0.5421795372305245, 0.5402483729452923, 0.5815915033735078, 0.5418564708068453, 0.5673582913546726, 0.5584374321945782, 0.5473892133811424]"
inception_v3,969.882025718689,16.22678303718567,16.08476710319519,70.76301402424531,76.2749445676275,76.13762486126527,10,0.9307452209971168,0.6089726943394234,0.5845907926559448,"[51.46184929878773, 64.53529831233658, 67.12621820774899, 68.5999524601854, 69.02781079153792, 70.12122652721655, 70.07368671262182, 70.76301402424531, 70.66793439505587, 69.88352745424292]","[61.529933481152995, 71.72949002217295, 72.72727272727273, 72.83813747228382, 76.2749445676275, 74.94456762749445, 75.72062084257206, 75.83148558758315, 73.39246119733924, 75.60975609756098]","[1.500497337543603, 1.1565820470903858, 1.0677898467490168, 1.0308243966463841, 1.0189884332093326, 0.9663216850974343, 0.9730593209916895, 0.9295883657354297, 0.9537368078123439, 0.9307452209971168]","[0.9136720710787279, 0.7532210946083069, 0.707202253670528, 0.706634521484375, 0.6475168014394825, 0.646604541046866, 0.618646182890596, 0.6247753059041912, 0.6351117579073742, 0.6089726943394234]"
